id,Symbol,Name,Summary Quote
1,AAPL,Apple Inc.,http://www.nasdaq.com/symbol/aapl
2,XOM,Exxon Mobil Corporation,http://www.nasdaq.com/symbol/xom
3,MSFT,Microsoft Corporation,http://www.nasdaq.com/symbol/msft
4,BAC^I,Bank of America Corporation,http://www.nasdaq.com/symbol/bac^i
5,IBM,International Business Machines Corporation,http://www.nasdaq.com/symbol/ibm
6,CVX,Chevron Corporation,http://www.nasdaq.com/symbol/cvx
7,GE,General Electric Company,http://www.nasdaq.com/symbol/ge
8,WMT,"Wal-Mart Stores, Inc.",http://www.nasdaq.com/symbol/wmt
9,T,AT&T Inc.,http://www.nasdaq.com/symbol/t
10,JNJ,Johnson & Johnson,http://www.nasdaq.com/symbol/jnj
11,PG,Procter & Gamble Company (The),http://www.nasdaq.com/symbol/pg
12,WFC,Wells Fargo & Company,http://www.nasdaq.com/symbol/wfc
13,KO,Coca-Cola Company (The),http://www.nasdaq.com/symbol/ko
14,PFE,"Pfizer, Inc.",http://www.nasdaq.com/symbol/pfe
15,JPM,J P Morgan Chase & Co,http://www.nasdaq.com/symbol/jpm
16,GOOG,Google Inc.,http://www.nasdaq.com/symbol/goog
17,PM,Philip Morris International Inc,http://www.nasdaq.com/symbol/pm
18,VOD,Vodafone Group Plc,http://www.nasdaq.com/symbol/vod
19,ORCL,Oracle Corporation,http://www.nasdaq.com/symbol/orcl
20,INTC,Intel Corporation,http://www.nasdaq.com/symbol/intc
21,MRK,"Merck & Company, Inc.",http://www.nasdaq.com/symbol/mrk
22,VZ,Verizon Communications Inc.,http://www.nasdaq.com/symbol/vz
23,BRK/A,Berkshire Hathaway Inc.,http://www.nasdaq.com/symbol/brk/a
24,QCOM,QUALCOMM Incorporated,http://www.nasdaq.com/symbol/qcom
25,PEP,"Pepsico, Inc.",http://www.nasdaq.com/symbol/pep
26,CSCO,"Cisco Systems, Inc.",http://www.nasdaq.com/symbol/csco
27,AMZN,"Amazon.com, Inc.",http://www.nasdaq.com/symbol/amzn
28,ABT,Abbott Laboratories,http://www.nasdaq.com/symbol/abt
29,MCD,McDonald&#39;s Corporation,http://www.nasdaq.com/symbol/mcd
30,SLB,Schlumberger N.V.,http://www.nasdaq.com/symbol/slb
31,C,Citigroup Inc.,http://www.nasdaq.com/symbol/c
32,BRK/B,Berkshire Hathaway Inc.,http://www.nasdaq.com/symbol/brk/b
33,BAC,Bank of America Corporation,http://www.nasdaq.com/symbol/bac
34,RY,Royal Bank Of Canada,http://www.nasdaq.com/symbol/ry
35,HD,"Home Depot, Inc. (The)",http://www.nasdaq.com/symbol/hd
36,DIS,Walt Disney Company (The),http://www.nasdaq.com/symbol/dis
37,TD,Toronto Dominion Bank (The),http://www.nasdaq.com/symbol/td
38,UTX,United Technologies Corporation,http://www.nasdaq.com/symbol/utx
39,OXY,Occidental Petroleum Corporation,http://www.nasdaq.com/symbol/oxy
40,AXP,American Express Company,http://www.nasdaq.com/symbol/axp
41,KFT,Kraft Foods Inc.,http://www.nasdaq.com/symbol/kft
42,COP,ConocoPhillips,http://www.nasdaq.com/symbol/cop
43,MO,Altria Group,http://www.nasdaq.com/symbol/mo
44,CAT,"Caterpillar, Inc.",http://www.nasdaq.com/symbol/cat
45,V,Visa Inc.,http://www.nasdaq.com/symbol/v
46,CMCSA,Comcast Corporation,http://www.nasdaq.com/symbol/cmcsa
47,MMM,3M Company,http://www.nasdaq.com/symbol/mmm
48,USB,U.S. Bancorp,http://www.nasdaq.com/symbol/usb
49,AIG,"American International Group, Inc.",http://www.nasdaq.com/symbol/aig
50,EMC,EMC Corporation,http://www.nasdaq.com/symbol/emc
51,CVS,CVS Corporation,http://www.nasdaq.com/symbol/cvs
52,BNS,Bank of Nova Scotia (The),http://www.nasdaq.com/symbol/bns
53,UNH,UnitedHealth Group Incorporated,http://www.nasdaq.com/symbol/unh
54,BA,Boeing Company (The),http://www.nasdaq.com/symbol/ba
55,UPS,"United Parcel Service, Inc.",http://www.nasdaq.com/symbol/ups
56,BMY,Bristol-Myers Squibb Company,http://www.nasdaq.com/symbol/bmy
57,AMGN,Amgen Inc.,http://www.nasdaq.com/symbol/amgn
58,UNP,Union Pacific Corporation,http://www.nasdaq.com/symbol/unp
59,GS,"Goldman Sachs Group, Inc. (The)",http://www.nasdaq.com/symbol/gs
60,MA,Mastercard Incorporated,http://www.nasdaq.com/symbol/ma
61,EBAY,eBay Inc.,http://www.nasdaq.com/symbol/ebay
62,DD,E.I. du Pont de Nemours and Company,http://www.nasdaq.com/symbol/dd
63,HPQ,Hewlett-Packard Company,http://www.nasdaq.com/symbol/hpq
64,LLY,Eli Lilly and Company,http://www.nasdaq.com/symbol/lly
65,CL,Colgate-Palmolive Company,http://www.nasdaq.com/symbol/cl
66,SU,Suncor Energy  Inc.,http://www.nasdaq.com/symbol/su
67,SPG,"Simon Property Group, Inc.",http://www.nasdaq.com/symbol/spg
68,EPD,Enterprise Products Partners L.P.,http://www.nasdaq.com/symbol/epd
69,HON,Honeywell International Inc.,http://www.nasdaq.com/symbol/hon
70,LVS,Las Vegas Sands Corp.,http://www.nasdaq.com/symbol/lvs
71,ESRX,Express Scripts Holding Company,http://www.nasdaq.com/symbol/esrx
72,SBUX,Starbucks Corporation,http://www.nasdaq.com/symbol/sbux
73,NKE,"Nike, Inc.",http://www.nasdaq.com/symbol/nke
74,ACN,Accenture plc.,http://www.nasdaq.com/symbol/acn
75,F,Ford Motor Company,http://www.nasdaq.com/symbol/f
76,MDT,"Medtronic, Inc.",http://www.nasdaq.com/symbol/mdt
77,SO,Southern Company (The),http://www.nasdaq.com/symbol/so
78,MON,Monsanto Company,http://www.nasdaq.com/symbol/mon
79,TEVA,Teva Pharmaceutical Industries Limited,http://www.nasdaq.com/symbol/teva
80,DOW,Dow Chemical Company (The),http://www.nasdaq.com/symbol/dow
81,GILD,"Gilead Sciences, Inc.",http://www.nasdaq.com/symbol/gild
82,ABX,Barrick Gold Corporation,http://www.nasdaq.com/symbol/abx
83,IMO,Imperial Oil Limited,http://www.nasdaq.com/symbol/imo
84,LOW,"Lowe&#39;s Companies, Inc.",http://www.nasdaq.com/symbol/low
85,DHR,Danaher Corporation,http://www.nasdaq.com/symbol/dhr
86,CNI,Canadian National Railway Company,http://www.nasdaq.com/symbol/cni
87,DB,Deutsche Bank AG,http://www.nasdaq.com/symbol/db
88,TGT,Target Corporation,http://www.nasdaq.com/symbol/tgt
89,PCLN,priceline.com Incorporated,http://www.nasdaq.com/symbol/pcln
90,BMO,Bank Of Montreal,http://www.nasdaq.com/symbol/bmo
91,POT,Potash Corporation of Saskatchewan Inc.,http://www.nasdaq.com/symbol/pot
92,MET,"MetLife, Inc.",http://www.nasdaq.com/symbol/met
93,COST,Costco Wholesale Corporation,http://www.nasdaq.com/symbol/cost
94,EMR,Emerson Electric Company,http://www.nasdaq.com/symbol/emr
95,BIDU,"Baidu, Inc.",http://www.nasdaq.com/symbol/bidu
96,TXN,Texas Instruments Incorporated,http://www.nasdaq.com/symbol/txn
97,GM,General Motors Company,http://www.nasdaq.com/symbol/gm
98,TWX,Time Warner Inc.,http://www.nasdaq.com/symbol/twx
