,0
0,A
1,"['0001090872', '1031']"
2,AA
3,"['0001675149', '1231']"
4,AAN
5,"['0000706688', '1231']"
6,AAON
7,"['0000824142', '1231']"
8,AAP
9,"['0001158449', '1228']"
10,AAPL
11,"['0000320193', '0928']"
12,AAT
13,"['0001500217', '1231']"
14,AAWW
15,"['0001135185', '1231']"
16,AB
17,"['0000825313', '1231']"
18,ABB
19,"['0001091587', '40']"
20,ABC
21,"['0001140859', '0930']"
22,ABCB
23,"['0000351569', '1231']"
24,ABG
25,"['0001144980', '1231']"
26,ABM
27,"['0000771497', '1031']"
28,ABMD
29,"['0000815094', '0331']"
30,ABR
31,"['0001253986', '1231']"
32,ABT
33,"['0000001800', '1231']"
34,ACAD
35,"['0001070494', '1231']"
36,ACC
37,"['0001283630', '1231']"
38,ACCO
39,"['0000712034', '1231']"
40,ACGL
41,"['0000947484', '40']"
42,ACHC
43,"['0001520697', '1231']"
44,ACHN
45,"['0001070336', '1231']"
46,ACIW
47,"['0000935036', '1231']"
48,ACLS
49,"['0001113232', '1231']"
50,ACM
51,"['0000868857', '0928']"
52,ACN
53,"['0001467373', '40']"
54,ACOR
55,"['0001008848', '1231']"
56,ACRE
57,"['0001529377', '40']"
58,ACRX
59,"['0001427925', '1231']"
60,ACTG
61,"['0000934549', '1231']"
62,ACU
63,"['0000002098', '1231']"
64,ACY
65,"['0001036848', '1231']"
66,ADBE
67,"['0000796343', '1130']"
68,ADC
69,"['0000917251', '1231']"
70,ADES
71,"['0001515156', '1231']"
72,ADI
73,"['0000006281', '1102']"
74,ADM
75,"['0000007084', '1231']"
76,ADP
77,"['0000008670', '0630']"
78,ADS
79,"['0001101215', '1231']"
80,ADSK
81,"['0000769397', '0131']"
82,ADTN
83,"['0000926282', '1231']"
84,ADUS
85,"['0001468328', '1231']"
86,AEE
87,"['0001002910', '1231']"
88,AEGN
89,"['0000353020', '1231']"
90,AEHR
91,"['0001040470', '0531']"
92,AEIS
93,"['0000927003', '1231']"
94,AEL
95,"['0001039828', '1231']"
96,AEM
97,"['1231', '40']"
98,AEO
99,"['0000919012', '0201']"
100,AEP
101,"['0000004904', '1231']"
102,AER
103,"['0001378789', '40']"
104,AES
105,"['0000874761', '1231']"
106,AEZS
107,"['25', '40']"
108,AFG
109,"['0001042046', '1231']"
110,AFL
111,"['0000004977', '1231']"
112,AG
113,"['0001308648', '40']"
114,AGCO
115,"['0000880266', '1231']"
116,AGEN
117,"['0001098972', '1231']"
118,AGM
119,"['0000845877', '1231']"
120,AGN
121,"['0001578845', '40']"
122,AGNC
123,"['0001423689', '1231']"
124,AGO
125,"['0001273813', '40']"
126,AGRO
127,"['1231', '40']"
128,AGX
129,"['0000100591', '0131']"
130,AGYS
131,"['0000078749', '40']"
132,AHT
133,"['0001232582', '1231']"
134,AI
135,"['0001209028', '1231']"
136,AIG
137,"['0000005272', '1231']"
138,AIMC
139,"['0001374535', '1231']"
140,AIN
141,"['0000819793', '1231']"
142,AINV
143,"['0001278752', '0001278752']"
144,AIR
145,"['0000001750', '0531']"
146,AIT
147,"['0000109563', '0630']"
148,AIV
149,"['0000922864', '1231']"
150,AIZ
151,"['0001267238', '1231']"
152,AJG
153,"['0000354190', '1231']"
154,AKAM
155,"['0001086222', '1231']"
156,AKR
157,"['0000899629', '1231']"
158,AKRX
159,"['0000003116', '1231']"
160,AKS
161,"['0000918160', '1231']"
162,AL
163,"['0001487712', '1231']"
164,ALB
165,"['0000915913', '1231']"
166,ALCO
167,"['0000003545', '0930']"
168,ALE
169,"['0000066756', '1231']"
170,ALEX
171,"['0001545654', '1231']"
172,ALG
173,"['0000897077', '1231']"
174,ALGN
175,"['0001097149', '1231']"
176,ALGT
177,"['0001362468', '1231']"
178,ALIM
179,"['0001267602', '1231']"
180,ALK
181,"['0000766421', '1231']"
182,ALKS
183,"['0001520262', '40']"
184,ALL
185,"['0000899051', '1231']"
186,ALLT
187,"['0001365767', '40']"
188,ALNY
189,"['0001178670', '1231']"
190,ALOT
191,"['0000008146', '0131']"
192,ALRN
193,"['0001420565', '1231']"
194,ALSK
195,"['0001089511', '1231']"
196,ALSN
197,"['0001411207', '1231']"
198,ALTR
199,"['0001701732', '1231']"
200,ALX
201,"['0000003499', '1231']"
202,ALXN
203,"['0000899866', '1231']"
204,AM
205,"['0001623925', '1231']"
206,AMAG
207,"['0000792977', '1231']"
208,AMAT
209,"['0000006951', '1027']"
210,AMCX
211,"['0001514991', '1231']"
212,AMD
213,"['0000002488', '1228']"
214,AME
215,"['0001037868', '1231']"
216,AMED
217,"['0000896262', '1231']"
218,AMG
219,"['0001004434', '1231']"
220,AMGN
221,"['0000318154', '1231']"
222,AMID
223,"['0001513965', '1231']"
224,AMKR
225,"['0001047127', '1231']"
226,AMNB
227,"['0000741516', '1231']"
228,AMOT
229,"['0000046129', '1231']"
230,AMP
231,"['0000820027', '1231']"
232,AMRB
233,"['0001108236', '1231']"
234,AMRC
235,"['0001488139', '1231']"
236,AMRN
237,"['0001120246', '40']"
238,AMRS
239,"['0001365916', '1231']"
240,AMSC
241,"['0000880807', '0331']"
242,AMSF
243,"['0001018979', '1231']"
244,AMSWA
245,"['0000713425', '0430']"
246,AMT
247,"['0001053507', '1231']"
248,AMTD
249,"['0001173431', '0930']"
250,AMWD
251,"['0000794619', '0430']"
252,AMX
253,"['05', '40']"
254,AMZN
255,"['0001018724', '1231']"
256,AN
