symbol,date,release_time
SFIX,2019-10-01,amc
MKC,2019-10-01,bmo
UNFI,2019-10-01,amc
SSNLF,2019-10-01,--
DNZOY,2019-10-01,--
LGRVF,2019-10-01,--
ASEKY,2019-10-01,--
NG,2019-10-01,amc
LNDC,2019-10-01,amc
CTST,2019-10-01,--
AMRQQ,2019-10-01,--
LEN,2019-10-02,bmo
BBBY,2019-10-02,amc
LW,2019-10-02,bmo
PAYX,2019-10-02,bmo
RECN,2019-10-02,--
AYI,2019-10-02,bmo
RPM,2019-10-02,bmo
STZ,2019-10-03,bmo
COST,2019-10-03,amc
SGH,2019-10-03,amc
PEP,2019-10-03,bmo
HNNMY,2019-10-03,--
ANGO,2019-10-03,bmo
BSET,2019-10-03,--
DPZ,2019-10-08,bmo
HELE,2019-10-08,bmo
LEVI,2019-10-08,amc
SAR,2019-10-09,amc
TMQ,2019-10-09,--
EXFO,2019-10-09,amc
DAL,2019-10-10,bmo
FAST,2019-10-11,bmo
INFY,2019-10-11,bmo
SMMT,2019-10-11,--
JNJ,2019-10-15,bmo
JPM,2019-10-15,bmo
UNH,2019-10-15,bmo
C,2019-10-15,bmo
GS,2019-10-15,bmo
WFC,2019-10-15,bmo
UAL,2019-10-15,amc
APHA,2019-10-15,bmo
BLK,2019-10-15,bmo
SCHW,2019-10-15,bmo
FGP,2019-10-15,--
JBHT,2019-10-15,amc
PLD,2019-10-15,bmo
OMC,2019-10-15,bmo
AMX,2019-10-15,--
FRC,2019-10-15,bmo
WIT,2019-10-15,bmo
TW,2019-10-15,bmo
PNFP,2019-10-15,amc
HWC,2019-10-15,amc
WAFD,2019-10-15,--
SNBR,2019-10-15,amc
NCBS,2019-10-15,--
MBWM,2019-10-15,bmo
PTSI,2019-10-15,--
HLAN,2019-10-15,--
QBIO,2019-10-15,--
NFLX,2019-10-16,amc
BAC,2019-10-16,bmo
IBM,2019-10-16,amc
KMI,2019-10-16,amc
ABT,2019-10-16,bmo
URI,2019-10-16,amc
PGR,2019-10-16,bmo
CSX,2019-10-16,amc
AA,2019-10-16,amc
USB,2019-10-16,bmo
CCI,2019-10-16,amc
PNC,2019-10-16,bmo
BK,2019-10-16,bmo
CMA,2019-10-16,bmo
STLD,2019-10-16,amc
ALLY,2019-10-16,bmo
ASML,2019-10-16,bmo
PACW,2019-10-16,--
LLNW,2019-10-16,amc
CCK,2019-10-16,amc
CBSH,2019-10-16,bmo
SLG,2019-10-16,amc
FHN,2019-10-16,bmo
RLI,2019-10-16,amc
WTFC,2019-10-16,amc
UMPQ,2019-10-16,amc
CNS,2019-10-16,amc
TCBI,2019-10-16,amc
CATY,2019-10-16,amc
EGBN,2019-10-16,amc
GSBC,2019-10-16,amc
TBK,2019-10-16,amc
PFBC,2019-10-16,bmo
CTBI,2019-10-16,--
TSC,2019-10-16,amc
HCCI,2019-10-16,amc
CTO,2019-10-16,amc
CVCY,2019-10-16,--
MNSB,2019-10-16,--
FCCO,2019-10-16,--
BMRA,2019-10-16,--
ISRG,2019-10-17,amc
ERIC,2019-10-17,bmo
PM,2019-10-17,bmo
MS,2019-10-17,bmo
HON,2019-10-17,bmo
TEAM,2019-10-17,amc
UNP,2019-10-17,bmo
ETFC,2019-10-17,amc
KEY,2019-10-17,bmo
TXT,2019-10-17,bmo
BBT,2019-10-17,bmo
STI,2019-10-17,bmo
PPG,2019-10-17,bmo
GPC,2019-10-17,bmo
OZK,2019-10-17,amc
DOV,2019-10-17,bmo
PBCT,2019-10-17,amc
WAL,2019-10-17,amc
MTB,2019-10-17,bmo
WDFC,2019-10-17,amc
SNA,2019-10-17,bmo
FNB,2019-10-17,bmo
BMI,2019-10-17,bmo
POOL,2019-10-17,bmo
WSO,2019-10-17,bmo
SBNY,2019-10-17,bmo
EWBC,2019-10-17,bmo
SON,2019-10-17,bmo
FFIN,2019-10-17,--
GBCI,2019-10-17,amc
EXPO,2019-10-17,amc
HOMB,2019-10-17,bmo
AUB,2019-10-17,bmo
WNS,2019-10-17,bmo
INDB,2019-10-17,amc
BDN,2019-10-17,amc
OMAB,2019-10-17,--
FFBC,2019-10-17,amc
GTLS,2019-10-17,bmo
BANF,2019-10-17,--
VICR,2019-10-17,amc
SRCE,2019-10-17,--
SASR,2019-10-17,bmo
MRTN,2019-10-17,amc
BMTC,2019-10-17,amc
CCNE,2019-10-17,--
AMNB,2019-10-17,--
UNTY,2019-10-17,--
FVCB,2019-10-17,--
ICBK,2019-10-17,bmo
GFED,2019-10-17,--
AMRB,2019-10-17,amc
NURO,2019-10-17,bmo
KO,2019-10-18,bmo
SLB,2019-10-18,bmo
AXP,2019-10-18,bmo
SYF,2019-10-18,bmo
CFG,2019-10-18,bmo
STT,2019-10-18,bmo
KSU,2019-10-18,bmo
GNTX,2019-10-18,bmo
VLVLY,2019-10-18,bmo
NVR,2019-10-18,--
MAN,2019-10-18,bmo
IBKC,2019-10-18,bmo
ABCB,2019-10-18,bmo
SXT,2019-10-18,bmo
BLX,2019-10-18,bmo
HONE,2019-10-18,--
BCBP,2019-10-18,--
CHMG,2019-10-18,--
BOCH,2019-10-18,--
FCCY,2019-10-18,--
MBCN,2019-10-18,--
ACU,2019-10-18,bmo
HDB,2019-10-19,--
HAL,2019-10-21,bmo
LOGI,2019-10-21,amc
AMTD,2019-10-21,amc
CE,2019-10-21,amc
CDNS,2019-10-21,amc
ZION,2019-10-21,amc
SAP,2019-10-21,bmo
HLX,2019-10-21,amc
HXL,2019-10-21,amc
ATLKY,2019-10-21,--
ELS,2019-10-21,amc
LII,2019-10-21,bmo
ACC,2019-10-21,amc
SARTF,2019-10-21,--
CBU,2019-10-21,bmo
BXS,2019-10-21,amc
ADC,2019-10-21,amc
ONB,2019-10-21,bmo
IBTX,2019-10-21,amc
WSFS,2019-10-21,amc
RNST,2019-10-21,amc
SFBS,2019-10-21,amc
HOPE,2019-10-21,amc
