,cik,year_end
0,1090872, 1031
1,1675149, 1231
2,706688, 1231
3,824142, 1231
4,1158449, 1228
5,320193, 0928
6,1500217, 1231
7,1135185, 1231
8,825313, 1231
9,1091587, 40
10,1140859, 0930
11,351569, 1231
12,1144980, 1231
13,771497, 1031
14,815094, 0331
15,1253986, 1231
16,1800, 1231
17,1070494, 1231
18,1283630, 1231
19,712034, 1231
20,947484, 40
21,1520697, 1231
22,1070336, 1231
23,935036, 1231
24,1113232, 1231
25,868857, 0928
26,1467373, 40
27,1008848, 1231
28,1529377, 40
29,1427925, 1231
30,934549, 1231
31,2098, 1231
32,1036848, 1231
33,796343, 1130
34,917251, 1231
35,1515156, 1231
36,6281, 1102
37,7084, 1231
38,8670, 0630
39,1101215, 1231
40,769397, 0131
41,926282, 1231
42,1468328, 1231
43,1002910, 1231
44,353020, 1231
45,1040470, 0531
46,927003, 1231
47,1039828, 1231
48,1231, 40
49,919012, 0201
50,4904, 1231
51,1378789, 40
52,874761, 1231
53,25, 40
54,1042046, 1231
55,4977, 1231
56,1308648, 40
57,880266, 1231
58,1098972, 1231
59,845877, 1231
60,1578845, 40
61,1423689, 1231
62,1273813, 40
63,1231, 40
64,100591, 0131
65,78749, 40
66,1232582, 1231
67,1209028, 1231
68,5272, 1231
69,1374535, 1231
70,819793, 1231
71,1278752, 0001278752
72,1750, 0531
73,109563, 0630
74,922864, 1231
75,1267238, 1231
76,354190, 1231
77,1086222, 1231
78,899629, 1231
79,3116, 1231
80,918160, 1231
81,1487712, 1231
82,915913, 1231
83,3545, 0930
84,66756, 1231
85,1545654, 1231
86,897077, 1231
87,1097149, 1231
88,1362468, 1231
89,1267602, 1231
90,766421, 1231
91,1520262, 40
92,899051, 1231
93,1365767, 40
94,1178670, 1231
95,8146, 0131
96,1420565, 1231
97,1089511, 1231
98,1411207, 1231
99,1701732, 1231
100,3499, 1231
101,899866, 1231
102,1623925, 1231
103,792977, 1231
104,6951, 1027
105,1514991, 1231
106,2488, 1228
107,1037868, 1231
108,896262, 1231
109,1004434, 1231
110,318154, 1231
111,1513965, 1231
112,1047127, 1231
113,741516, 1231
114,46129, 1231
115,820027, 1231
116,1108236, 1231
117,1488139, 1231
118,1120246, 40
119,1365916, 1231
120,880807, 0331
121,1018979, 1231
122,713425, 0430
123,1053507, 1231
124,1173431, 0930
125,794619, 0430
126,5, 40
127,1018724, 1231
128,350698, 1231
129,821026, 1231
130,1018840, 0202
131,1705110, 1231
132,1275187, 0531
133,1047884, 1231
134,898437, 1231
135,1013462, 1231
136,1316175, 1231
137,315293, 40
138,91142, 1231
139,1387467, 0630
140,6176, 1231
141,6769, 1231
142,2969, 0930
143,1201792, 1231
144,820313, 1231
145,1411494, 1231
146,6845, 0229
147,1481832, 1231
148,1138723, 0630
