,symbol,sector,industry
0,A,Healthcare,Diagnostics & Research
1,AA,Basic Materials,Aluminum
2,AABA,NULL,NULL
3,AAC,NULL,NULL
4,AAL,Industrials,Airlines
5,AAN,Industrials,Rental & Leasing Services
6,AAOI,Technology,Semiconductors
7,AAON,Basic Materials,Building Materials
8,AAP,Consumer Cyclical,Specialty Retail
9,AAPL,Technology,Consumer Electronics
10,AAT,Real Estate,REIT - Diversified
11,AAWW,Industrials,Airports & Air Services
12,AAXN,Industrials,Aerospace & Defense
13,AB,Financial Services,Asset Management
14,ABB,Industrials,Diversified Industrials
15,ABBV,Healthcare,Drug Manufacturers - Major
16,ABC,Healthcare,Medical Distribution
17,ABCB,Financial Services,Banks - Regional - US
18,ABDC,Financial Services,Asset Management
19,ABEO,Healthcare,Biotechnology
20,ABEV,Consumer Defensive,Beverages - Brewers
21,ABG,Consumer Cyclical,Auto & Truck Dealerships
22,ABIL,Technology,Communication Equipment
23,ABM,Industrials,Business Services
24,ABMD,Healthcare,Medical Devices
25,ABR,Real Estate,REIT - Diversified
26,ABT,Healthcare,Medical Devices
27,ABTX,Financial Services,Banks - Regional - US
28,ABUS,Healthcare,Biotechnology
29,ACA,Industrials,Infrastructure Operations
30,ACAD,Healthcare,Biotechnology
31,ACBI,Financial Services,Banks - Regional - US
32,ACC,Real Estate,REIT - Residential
33,ACCO,Industrials,Business Equipment
34,ACER,Healthcare,Biotechnology
35,ACET,NULL,NULL
36,ACGL,Financial Services,Insurance - Diversified
37,ACHC,Healthcare,Medical Care
38,ACHN,Healthcare,Biotechnology
39,ACHV,Healthcare,Biotechnology
40,ACIA,Technology,Communication Equipment
41,ACIW,Technology,Software - Infrastructure
42,ACLS,Technology,Semiconductor Equipment & Materials
43,ACM,Industrials,Engineering & Construction
44,ACMR,Technology,Semiconductor Equipment & Materials
45,ACN,Technology,Information Technology Services
46,ACOR,Healthcare,Biotechnology
47,ACRE,Real Estate,REIT - Diversified
48,ACRS,Healthcare,Biotechnology
49,ACRX,Healthcare,Medical Devices
50,ACST,Healthcare,Biotechnology
51,ACT,NULL,NULL
52,ACTG,Industrials,Business Services
53,ACU,Consumer Defensive,Household & Personal Products
54,ACY,Industrials,Rental & Leasing Services
55,ADAP,Healthcare,Biotechnology
56,ADBE,Technology,Software - Application
57,ADC,Real Estate,REIT - Retail
58,ADES,Industrials,Pollution & Treatment Controls
59,ADI,Technology,Semiconductors
60,ADM,Consumer Defensive,Farm Products
61,ADMP,Healthcare,Drug Manufacturers - Specialty & Generic
62,ADMS,Healthcare,Drug Manufacturers - Specialty & Generic
63,ADNT,Consumer Cyclical,Auto Parts
64,ADOM,Consumer Cyclical,Auto Parts
65,ADP,Industrials,Business Services
66,ADPT,Healthcare,Biotechnology
67,ADS,Financial Services,Credit Services
68,ADSK,Technology,Software - Application
69,ADSW,Industrials,Waste Management
70,ADT,Industrials,Security & Protection Services
71,ADTN,Technology,Communication Equipment
72,ADUS,Healthcare,Medical Care
73,ADVM,Healthcare,Biotechnology
74,ADXS,Healthcare,Biotechnology
75,AEE,Utilities,Utilities - Regulated Electric
76,AEGN,Industrials,Engineering & Construction
77,AEHR,Technology,Semiconductor Equipment & Materials
78,AEIS,Technology,Electronic Components
79,AEL,Financial Services,Insurance - Life
80,AEM,Basic Materials,Gold
81,AEMD,Healthcare,Medical Devices
82,AEO,Consumer Cyclical,Apparel Stores
83,AEP,Utilities,Utilities - Regulated Electric
84,AER,Industrials,Airports & Air Services
85,AERI,Healthcare,Drug Manufacturers - Major
86,AES,Utilities,Utilities - Diversified
87,AEYE,Technology,Software - Application
88,AEZS,Healthcare,Biotechnology
89,AFG,Financial Services,Insurance - Property & Casualty
90,AFH,Financial Services,Insurance - Property & Casualty
91,AFI,Basic Materials,Building Materials
92,AFL,Financial Services,Insurance - Life
93,AFMD,Healthcare,Biotechnology
94,AG,Basic Materials,Silver
95,AGCO,Industrials,Farm & Construction Equipment
96,AGEN,Healthcare,Biotechnology
97,AGFS,Basic Materials,Agricultural Inputs
98,AGI,Basic Materials,Gold
99,AGIO,Healthcare,Biotechnology
100,AGLE,Healthcare,Biotechnology
101,AGM,Financial Services,Credit Services
102,AGN,Healthcare,Drug Manufacturers - Specialty & Generic
103,AGNC,Real Estate,REIT - Residential
104,AGO,Financial Services,Insurance - Specialty
105,AGR,Utilities,Utilities - Regulated Electric
106,AGRO,Consumer Defensive,Farm Products
107,AGRX,Healthcare,Drug Manufacturers - Specialty & Generic
108,AGS,Consumer Cyclical,Gambling
109,AGTC,Healthcare,Biotechnology
110,AGX,Industrials,Engineering & Construction
111,AGYS,Technology,Software - Application
112,AHH,Real Estate,REIT - Diversified
113,AHL,NULL,NULL
114,AHT,Real Estate,REIT - Hotel & Motel
115,AI,Real Estate,REIT - Diversified
116,AIG,Financial Services,Insurance - Diversified
117,AIMC,Industrials,Diversified Industrials
118,AIMT,Healthcare,Biotechnology
119,AIN,Consumer Cyclical,Textile Manufacturing
120,AINC,Financial Services,Asset Management
121,AINV,Financial Services,Asset Management
122,AIR,Industrials,Aerospace & Defense
123,AIRG,Technology,Communication Equipment
124,AIRI,Industrials,Aerospace & Defense
125,AIT,Industrials,Industrial Distribution
126,AITB,NULL,NULL
127,AIV,Real Estate,REIT - Residential
128,AIZ,Financial Services,Insurance - Specialty
129,AJG,Financial Services,Insurance Brokers
130,AJRD,Industrials,Aerospace & Defense
