symbol,surp_score,beat_score
A,0.035496028,0.888888889
AA,0.132745965,0.636363636
AABA,0.039967497,0.714285714
AAC,0.041155721,0.764705882
AAL,0.144202642,1
AAN,0.033253735,0.703703704
AAOI,0.037824746,0.708333333
AAON,0.02224315,0.388888889
AAP,0.058435479,0.714285714
AAPL,0.050419667,0.892857143
AAT,0.121491636,0.037037037
AAWW,0.087425785,0.785714286
AAXN,0.08920165,0.7
AB,0.027108528,0.714285714
ABB,0.020599504,0.6
ABBV,0.022871853,0.92
ABC,0.040034502,0.892857143
ABCB,0.020868318,0.565217391
ABDC,0.024137033,0.928571429
ABEO,0.137893668,0.25
ABEV,0.005935616,0.727272727
ABG,0.051306872,0.857142857
ABIL,4.033889307,0
ABM,0.021910429,0.814814815
ABMD,0.085846011,0.884615385
ABR,0.098269262,0.703703704
ABT,0.009389169,1
ABTX,0.050812996,0.466666667
ABUS,0.159669592,0.777777778
ACA,0.4334752,1
ACAD,0.029442994,0.518518519
ACBI,0.021225499,0.333333333
ACC,0.15850574,0
ACCO,0.013849667,0.814814815
ACER,0.371376511,0
ACET,0.058088351,0.428571429
ACGL,0.021336762,0.928571429
ACHC,0.013882753,0.814814815
ACHN,0.040962199,0.727272727
ACHV,0.353905582,0.666666667
ACIA,0.114006769,0.916666667
ACIW,0.043419608,0.607142857
ACLS,0.023143447,0.857142857
ACM,0.035003149,0.777777778
ACMR,0.09656546,1
ACN,0.028665123,0.888888889
ACOR,0.139737031,0.607142857
ACRE,0.027803008,0.56
ACRS,0.101102284,0.642857143
ACRX,0.041419252,0.555555556
ACST,0.109696551,1
ACT,0.250813438,1
ACTG,0.313730931,0.416666667
ACU,0.090260181,0.555555556
ADAP,0.089158246,0.5
ADBE,0.025259541,0.923076923
ADC,0.073081389,0.142857143
ADES,0.12557196,0.3125
ADI,0.034908789,1
ADM,0.03857632,0.5
ADMS,0.241331661,0.538461538
ADNT,0.058482006,0.545454545
ADP,0.022015304,0.821428571
ADS,0.113286566,0.928571429
ADSK,0.023882843,0.925925926
ADSW,0.039355078,0.636363636
ADT,0.068028533,0.533333333
ADTN,0.034736223,0.925925926
ADUS,0.016055219,0.851851852
ADVM,0.045608816,0.8
ADXS,0.111575133,0.375
AEE,0.033623953,0.607142857
AEGN,0.026617306,0.5
AEHR,0.038984804,0.6
AEIS,0.044749042,0.962962963
AEL,0.075270007,0.740740741
AEM,0.044263255,0.678571429
AEMD,0.026709966,0.5625
AEO,0.008041232,0.851851852
AEP,0.025520539,0.666666667
AER,0.109753549,0.857142857
AERI,0.343709896,0.47826087
AES,0.015662342,0.535714286
AEYE,0.196179166,0
AEZS,8.526466484,0.681818182
AFG,0.084425027,0.821428571
AFH,0.062588052,0.8
AFI,0.076857393,0.666666667
AFL,0.019255292,0.892857143
AFMD,0.366142929,0.666666667
AG,0.026709966,0.375
AGCO,0.075561532,0.888888889
AGEN,0.043479371,0.444444444
AGFS,0.202965401,0.166666667
AGI,0.011756219,0.44
AGIO,0.139744501,0.391304348
AGM,0.332176674,0.625
AGN,0.072246266,0.913043478
AGNC,0.055139601,0.5
AGO,0.255001647,0.857142857
AGR,0.05728324,0.5
AGRO,0.289860887,0.2
AGRX,0.061054336,0.714285714
AGS,0.582599219,0
AGTC,0.149299137,0.5
AGX,0.762681297,1
AGYS,0.047541929,0.666666667
AHH,0.058027598,0.16
AHL,0.49419273,1
AHT,0.320019303,0.037037037
AI,0.06146191,0.55
AIG,0.144695295,0.571428571
AIMC,0.021491615,0.814814815
AIMT,0.064592602,0.166666667
AIN,0.056354045,0.523809524
AINC,0.533871831,0.833333333
AINV,0.021055666,0.821428571
AIR,0.111066397,0.72
AIRG,0.04995888,0.833333333
AIRI,0.091273048,0.5
AIT,0.027038211,0.642857143
AITB,2.528497725,0.5
AIV,0.312345344,0.321428571
AIZ,0.112633715,0.827586207
AJG,0.016214974,0.821428571
AJRD,0.246952502,0.333333333
AJX,0.045795188,0
AKAM,0.020862219,0.964285714
AKAO,0.408803744,0.2
AKBA,0.995832311,0.25
AKCA,0.26134271,0.5
AKG,0.031824463,0.666666667
AKO.B,0.099392138,0.8
AKR,0.067716917,0.148148148
AKRX,0.041466496,0.941176471
AKS,0.038479802,0.857142857
AL,0.044020828,0.962962963
ALB,0.0605926,0.888888889
ALBO,2.253250983,0.4
ALCO,0.847194968,0.25
ALDR,0.186973508,0.45
ALDX,0.035589518,0.470588235
ALE,0.050717601,0.642857143
ALEX,0.086842471,0.75
ALG,0.066232551,0.608695652
ALGN,0.047676934,0.928571429
ALGT,0.104594245,0.730769231
ALIM,0.018820765,0.428571429
ALK,0.047743081,0.851851852
ALKS,0.046552753,0.62962963
ALL,0.141765693,0.928571429
ALLE,0.033874451,0.681818182
ALLT,0.013662752,0.571428571
ALLY,0.032925551,0.857142857
ALNY,0.122096405,0.62962963
ALO,0.071799429,0.75
ALOT,0.16464733,1
ALQA,1.054985391,0.5
ALRM,0.043798855,1
ALRN,0.272123652,0.5
ALSK,0.465392297,0.875
ALSN,0.09623043,0.923076923
ALT,8.342823252,0.6
ALTM,0.01825461,1
ALTR,0.031913159,0.666666667
ALV,0.076015901,0.56
ALX,6.063291044,0
ALXN,0.068410497,0.892857143
AM,0.03145428,0.764705882
AMAG,0.247195289,0.5
AMAL,0.078342495,0.666666667
