Symbol,Name,Summary Quote
AAPL,Apple Inc.,http://www.nasdaq.com/symbol/aapl
XOM,Exxon Mobil Corporation,http://www.nasdaq.com/symbol/xom
MSFT,Microsoft Corporation,http://www.nasdaq.com/symbol/msft
BAC^I,Bank of America Corporation,http://www.nasdaq.com/symbol/bac^i
IBM,International Business Machines Corporation,http://www.nasdaq.com/symbol/ibm
CVX,Chevron Corporation,http://www.nasdaq.com/symbol/cvx
GE,General Electric Company,http://www.nasdaq.com/symbol/ge
WMT,"Wal-Mart Stores, Inc.",http://www.nasdaq.com/symbol/wmt
T,AT&T Inc.,http://www.nasdaq.com/symbol/t
JNJ,Johnson & Johnson,http://www.nasdaq.com/symbol/jnj
PG,Procter & Gamble Company (The),http://www.nasdaq.com/symbol/pg
WFC,Wells Fargo & Company,http://www.nasdaq.com/symbol/wfc
KO,Coca-Cola Company (The),http://www.nasdaq.com/symbol/ko
PFE,"Pfizer, Inc.",http://www.nasdaq.com/symbol/pfe
JPM,J P Morgan Chase & Co,http://www.nasdaq.com/symbol/jpm
GOOG,Google Inc.,http://www.nasdaq.com/symbol/goog
PM,Philip Morris International Inc,http://www.nasdaq.com/symbol/pm
VOD,Vodafone Group Plc,http://www.nasdaq.com/symbol/vod
ORCL,Oracle Corporation,http://www.nasdaq.com/symbol/orcl
INTC,Intel Corporation,http://www.nasdaq.com/symbol/intc
MRK,"Merck & Company, Inc.",http://www.nasdaq.com/symbol/mrk
VZ,Verizon Communications Inc.,http://www.nasdaq.com/symbol/vz
BRK/A,Berkshire Hathaway Inc.,http://www.nasdaq.com/symbol/brk/a
QCOM,QUALCOMM Incorporated,http://www.nasdaq.com/symbol/qcom
PEP,"Pepsico, Inc.",http://www.nasdaq.com/symbol/pep
CSCO,"Cisco Systems, Inc.",http://www.nasdaq.com/symbol/csco
AMZN,"Amazon.com, Inc.",http://www.nasdaq.com/symbol/amzn
ABT,Abbott Laboratories,http://www.nasdaq.com/symbol/abt
MCD,McDonald&#39;s Corporation,http://www.nasdaq.com/symbol/mcd
SLB,Schlumberger N.V.,http://www.nasdaq.com/symbol/slb
C,Citigroup Inc.,http://www.nasdaq.com/symbol/c
BRK/B,Berkshire Hathaway Inc.,http://www.nasdaq.com/symbol/brk/b
BAC,Bank of America Corporation,http://www.nasdaq.com/symbol/bac
RY,Royal Bank Of Canada,http://www.nasdaq.com/symbol/ry
HD,"Home Depot, Inc. (The)",http://www.nasdaq.com/symbol/hd
DIS,Walt Disney Company (The),http://www.nasdaq.com/symbol/dis
TD,Toronto Dominion Bank (The),http://www.nasdaq.com/symbol/td
UTX,United Technologies Corporation,http://www.nasdaq.com/symbol/utx
OXY,Occidental Petroleum Corporation,http://www.nasdaq.com/symbol/oxy
AXP,American Express Company,http://www.nasdaq.com/symbol/axp
KFT,Kraft Foods Inc.,http://www.nasdaq.com/symbol/kft
COP,ConocoPhillips,http://www.nasdaq.com/symbol/cop
MO,Altria Group,http://www.nasdaq.com/symbol/mo
CAT,"Caterpillar, Inc.",http://www.nasdaq.com/symbol/cat
V,Visa Inc.,http://www.nasdaq.com/symbol/v
CMCSA,Comcast Corporation,http://www.nasdaq.com/symbol/cmcsa
MMM,3M Company,http://www.nasdaq.com/symbol/mmm
USB,U.S. Bancorp,http://www.nasdaq.com/symbol/usb
AIG,"American International Group, Inc.",http://www.nasdaq.com/symbol/aig
EMC,EMC Corporation,http://www.nasdaq.com/symbol/emc
CVS,CVS Corporation,http://www.nasdaq.com/symbol/cvs
BNS,Bank of Nova Scotia (The),http://www.nasdaq.com/symbol/bns
UNH,UnitedHealth Group Incorporated,http://www.nasdaq.com/symbol/unh
BA,Boeing Company (The),http://www.nasdaq.com/symbol/ba
UPS,"United Parcel Service, Inc.",http://www.nasdaq.com/symbol/ups
BMY,Bristol-Myers Squibb Company,http://www.nasdaq.com/symbol/bmy
AMGN,Amgen Inc.,http://www.nasdaq.com/symbol/amgn
UNP,Union Pacific Corporation,http://www.nasdaq.com/symbol/unp
GS,"Goldman Sachs Group, Inc. (The)",http://www.nasdaq.com/symbol/gs
MA,Mastercard Incorporated,http://www.nasdaq.com/symbol/ma
EBAY,eBay Inc.,http://www.nasdaq.com/symbol/ebay
DD,E.I. du Pont de Nemours and Company,http://www.nasdaq.com/symbol/dd
HPQ,Hewlett-Packard Company,http://www.nasdaq.com/symbol/hpq
LLY,Eli Lilly and Company,http://www.nasdaq.com/symbol/lly
CL,Colgate-Palmolive Company,http://www.nasdaq.com/symbol/cl
SU,Suncor Energy  Inc.,http://www.nasdaq.com/symbol/su
SPG,"Simon Property Group, Inc.",http://www.nasdaq.com/symbol/spg
EPD,Enterprise Products Partners L.P.,http://www.nasdaq.com/symbol/epd
HON,Honeywell International Inc.,http://www.nasdaq.com/symbol/hon
LVS,Las Vegas Sands Corp.,http://www.nasdaq.com/symbol/lvs
ESRX,Express Scripts Holding Company,http://www.nasdaq.com/symbol/esrx
SBUX,Starbucks Corporation,http://www.nasdaq.com/symbol/sbux
NKE,"Nike, Inc.",http://www.nasdaq.com/symbol/nke
ACN,Accenture plc.,http://www.nasdaq.com/symbol/acn
F,Ford Motor Company,http://www.nasdaq.com/symbol/f
MDT,"Medtronic, Inc.",http://www.nasdaq.com/symbol/mdt
SO,Southern Company (The),http://www.nasdaq.com/symbol/so
MON,Monsanto Company,http://www.nasdaq.com/symbol/mon
TEVA,Teva Pharmaceutical Industries Limited,http://www.nasdaq.com/symbol/teva
DOW,Dow Chemical Company (The),http://www.nasdaq.com/symbol/dow
GILD,"Gilead Sciences, Inc.",http://www.nasdaq.com/symbol/gild
ABX,Barrick Gold Corporation,http://www.nasdaq.com/symbol/abx
IMO,Imperial Oil Limited,http://www.nasdaq.com/symbol/imo
LOW,"Lowe&#39;s Companies, Inc.",http://www.nasdaq.com/symbol/low
DHR,Danaher Corporation,http://www.nasdaq.com/symbol/dhr
CNI,Canadian National Railway Company,http://www.nasdaq.com/symbol/cni
DB,Deutsche Bank AG,http://www.nasdaq.com/symbol/db
TGT,Target Corporation,http://www.nasdaq.com/symbol/tgt
PCLN,priceline.com Incorporated,http://www.nasdaq.com/symbol/pcln
BMO,Bank Of Montreal,http://www.nasdaq.com/symbol/bmo
POT,Potash Corporation of Saskatchewan Inc.,http://www.nasdaq.com/symbol/pot
MET,"MetLife, Inc.",http://www.nasdaq.com/symbol/met
COST,Costco Wholesale Corporation,http://www.nasdaq.com/symbol/cost
EMR,Emerson Electric Company,http://www.nasdaq.com/symbol/emr
BIDU,"Baidu, Inc.",http://www.nasdaq.com/symbol/bidu
