,Unnamed: 0,cik,year_end,symbol
0,0,1090872, 1031,A
1,1,1675149, 1231,AA
2,2,706688, 1231,AAN
3,3,824142, 1231,AAON
4,4,1158449, 1228,AAP
5,5,320193, 0928,AAPL
6,6,1500217, 1231,AAT
7,7,1135185, 1231,AAWW
8,8,825313, 1231,AB
9,9,1091587, 40,ABB
10,10,1140859, 0930,ABC
11,11,351569, 1231,ABCB
12,12,1144980, 1231,ABG
13,13,771497, 1031,ABM
14,14,815094, 0331,ABMD
15,15,1253986, 1231,ABR
16,16,1800, 1231,ABT
17,17,1070494, 1231,ACAD
18,18,1283630, 1231,ACC
19,19,712034, 1231,ACCO
20,20,947484, 40,ACGL
21,21,1520697, 1231,ACHC
22,22,1070336, 1231,ACHN
23,23,935036, 1231,ACIW
24,24,1113232, 1231,ACLS
25,25,868857, 0928,ACM
26,26,1467373, 40,ACN
27,27,1008848, 1231,ACOR
28,28,1529377, 40,ACRE
29,29,1427925, 1231,ACRX
30,30,934549, 1231,ACTG
31,31,2098, 1231,ACU
32,32,1036848, 1231,ACY
33,33,796343, 1130,ADBE
34,34,917251, 1231,ADC
35,35,1515156, 1231,ADES
36,36,6281, 1102,ADI
37,37,7084, 1231,ADM
38,38,8670, 0630,ADP
39,39,1101215, 1231,ADS
40,40,769397, 0131,ADSK
41,41,926282, 1231,ADTN
42,42,1468328, 1231,ADUS
43,43,1002910, 1231,AEE
44,44,353020, 1231,AEGN
45,45,1040470, 0531,AEHR
46,46,927003, 1231,AEIS
47,47,1039828, 1231,AEL
48,48,1231, 40,AEM
49,49,919012, 0201,AEO
50,50,4904, 1231,AEP
51,51,1378789, 40,AER
52,52,874761, 1231,AES
53,53,25, 40,AEZS
54,54,1042046, 1231,AFG
55,55,4977, 1231,AFL
56,56,1308648, 40,AG
57,57,880266, 1231,AGCO
58,58,1098972, 1231,AGEN
59,59,845877, 1231,AGM
60,60,1578845, 40,AGN
61,61,1423689, 1231,AGNC
62,62,1273813, 40,AGO
63,63,1231, 40,AGRO
64,64,100591, 0131,AGX
65,65,78749, 40,AGYS
66,66,1232582, 1231,AHT
67,67,1209028, 1231,AI
68,68,5272, 1231,AIG
69,69,1374535, 1231,AIMC
70,70,819793, 1231,AIN
71,71,1278752, 0001278752,AINV
72,72,1750, 0531,AIR
73,73,109563, 0630,AIT
74,74,922864, 1231,AIV
75,75,1267238, 1231,AIZ
76,76,354190, 1231,AJG
77,77,1086222, 1231,AKAM
78,78,899629, 1231,AKR
79,79,3116, 1231,AKRX
80,80,918160, 1231,AKS
81,81,1487712, 1231,AL
82,82,915913, 1231,ALB
83,83,3545, 0930,ALCO
84,84,66756, 1231,ALE
85,85,1545654, 1231,ALEX
86,86,897077, 1231,ALG
87,87,1097149, 1231,ALGN
88,88,1362468, 1231,ALGT
89,89,1267602, 1231,ALIM
90,90,766421, 1231,ALK
91,91,1520262, 40,ALKS
92,92,899051, 1231,ALL
93,93,1365767, 40,ALLT
94,94,1178670, 1231,ALNY
95,95,8146, 0131,ALOT
96,96,1420565, 1231,ALRN
97,97,1089511, 1231,ALSK
98,98,1411207, 1231,ALSN
99,99,1701732, 1231,ALTR
100,100,3499, 1231,ALX
101,101,899866, 1231,ALXN
102,102,1623925, 1231,AM
103,103,792977, 1231,AMAG
104,104,6951, 1027,AMAT
105,105,1514991, 1231,AMCX
106,106,2488, 1228,AMD
107,107,1037868, 1231,AME
108,108,896262, 1231,AMED
109,109,1004434, 1231,AMG
110,110,318154, 1231,AMGN
111,111,1513965, 1231,AMID
112,112,1047127, 1231,AMKR
113,113,741516, 1231,AMNB
114,114,46129, 1231,AMOT
115,115,820027, 1231,AMP
116,116,1108236, 1231,AMRB
117,117,1488139, 1231,AMRC
118,118,1120246, 40,AMRN
119,119,1365916, 1231,AMRS
120,120,880807, 0331,AMSC
121,121,1018979, 1231,AMSF
122,122,713425, 0430,AMSWA
123,123,1053507, 1231,AMT
124,124,1173431, 0930,AMTD
125,125,794619, 0430,AMWD
126,126,5, 40,AMX
127,127,1018724, 1231,AMZN
128,128,350698, 1231,AN
129,129,821026, 1231,ANDE
130,130,1018840, 0202,ANF
131,131,1705110, 1231,ANGI
132,132,1275187, 0531,ANGO
133,133,1047884, 1231,ANH
134,134,898437, 1231,ANIK
135,135,1013462, 1231,ANSS
136,136,1316175, 1231,ANTH
137,137,315293, 40,AON
138,138,91142, 1231,AOS
139,139,1387467, 0630,AOSL
140,140,6176, 1231,AP
141,141,6769, 1231,APA
142,142,2969, 0930,APD
143,143,1201792, 1231,APEI
144,144,820313, 1231,APH
145,145,1411494, 1231,APO
146,146,6845, 0229,APOG
147,147,1481832, 1231,APTS
148,148,1138723, 0630,ARAY
149,149,1305168, 1231,ARC
150,150,1287750, 1231,ARCC
151,151,1231, 40,ARCO
152,152,826326, 0630,ARCW
153,153,1035443, 1231,ARE
154,154,1405073, 1231,AREX
155,155,1467760, 1231,ARI
156,156,1086600, 1231,ARLP
157,157,1080709, 1231,ARNA
158,158,717538, 1231,AROW
159,159,1019695, 1231,ARQL
160,160,1428205, 1231,ARR
161,161,863110, 1231,ARTNA
162,162,916529, 1231,ARTX
163,163,7536, 1231,ARW
164,164,879407, 0930,ARWR
165,165,890564, 1231,ASGN
166,166,1674862, 0930,ASH
167,167,1231, 40,ASM
168,168,16, 40,ASML
169,169,1498301, 0803,ASNA
170,170,1462418, 40,ASPS
171,171,5, 40,ASR
172,172,792987, 1231,ASTE
173,173,884144, 1231,ASUR
174,174,8, 40,ASX
175,175,720500, 0930,ASYS
176,176,1419242, 1,AT
177,177,1059142, 1231,ATAX
178,178,1350653, 1231,ATEC
179,179,1368148, 1231,ATHX
180,180,1018963, 1231,ATI
181,181,879585, 1231,ATNI
182,182,731802, 0930,ATO
183,183,896622, 1231,ATR
184,184,1323885, 1231,ATRC
185,185,8063, 1231,ATRO
186,186,894081, 1231,ATSG
187,187,718877, 1231,ATVI
188,188,1086434, 40,AUDC
189,189,1011509, 1231,AUMN
190,190,2, 40,AUY
191,191,104918, 1231,AVA
192,192,1368622, 0430,AVAV
193,193,915912, 1231,AVB
194,194,5981, 1231,AVD
195,195,1325879, 1231,AVEO
196,196,1730168, 1103,AVGO
197,197,896841, 1231,AVID
198,198,1377789, 0703,AVNW
199,199,8868, 1231,AVP
200,200,8858, 0627,AVT
201,201,859163, 0331,AVX
202,202,8818, 1228,AVY
203,203,7431, 1231,AWI
204,204,1410636, 1231,AWK
205,205,1056903, 1231,AWR
206,206,867665, 1231,AXAS
207,207,52795, 0103,AXE
208,208,1062231, 1231,AXL
209,209,4962, 1231,AXP
210,210,1214816, 40,AXS
211,211,1051627, 1231,AXTI
212,212,1231, 40,AXU
213,213,1144215, 0831,AYI
214,214,1362988, 0,AYR
215,215,901832, 40,AZN
216,216,866787, 0831,AZO
217,217,929940, 0630,AZPN
218,218,8947, 0228,AZZ
219,219,9984, 1231,B
220,220,12927, 1231,BA
221,221,70858, 1231,BAC
222,222,1443646, 0331,BAH
223,223,1443646, 0331,BAK
224,224,1001085, 40,BAM
225,225,1169770, 1231,BANC
226,226,760498, 1231,BANF
227,227,946673, 1231,BANR
228,228,1231, 40,BAP
229,229,1109189, 1231,BAS
230,230,720154, 0930,BASI
231,231,10456, 1231,BAX
232,232,886158, 0229,BBBY
233,233,5, 40,BBD
234,234,1099160, 1231,BBGI
235,235,902791, 1231,BBSI
236,236,92230, 1231,BBT
237,237,1113809, 0201,BBW
238,238,315858, 1231,BBX
239,239,764478, 0201,BBY
240,240,14930, 1231,BC
241,241,718940, 40,BCE
242,242,1509589, 1231,BCEI
243,243,3, 40,BCH
244,244,78890, 1231,BCO
245,245,1313275, 1231,BCOV
246,246,9326, 1231,BCPC
247,247,882796, 1231,BCRX
248,248,312069, 40,BCS
249,249,913142, 1231,BDC
250,250,846617, 1231,BDGE
251,251,790816, 1231,BDN
252,252,1103021, 1231,BDSI
253,253,10795, 0930,BDX
254,254,1574774, 1231,BEAT
255,255,1124941, 0930,BECN
256,256,729580, 1231,BELFB
257,257,38777, 0930,BEN
258,258,1231, 40,BEST
259,259,1303942, 1231,BFIN
260,260,907254, 1231,BFS
261,261,1144519, 1231,BG
262,262,1094831, 1231,BGCP
263,263,1156388, 1229,BGFV
264,264,14195, 0628,BGG
265,265,1278027, 1228,BGS
266,266,743367, 1231,BHB
267,267,863436, 1231,BHE
268,268,1108134, 1231,BHLB
269,269,12, 40,BIDU
270,270,768835, 0131,BIG
271,271,875045, 1231,BIIB
272,272,12208, 1231,BIO
273,273,1044378, 1231,BIOC
274,274,1014739, 1231,BIOS
275,275,1231, 40,BIP
276,276,9, 40,BITA
277,277,1013488, 1231,BJRI
278,278,1390777, 1231,BK
279,279,1326003, 05,BKCC
280,280,1332349, 1231,BKD
281,281,885245, 0201,BKE
282,282,1392091, 1231,BKEP
283,283,1130464, 1231,BKH
284,284,1627014, 1231,BKI
285,285,1504008, 1231,BKU
286,286,2, 40,BLDP
287,287,1316835, 1231,BLDR
288,288,1364742, 1231,BLK
289,289,1280058, 1231,BLKB
290,290,9389, 1231,BLL
291,291,1231, 40,BLRX
292,292,22, 40,BLX
293,293,21, 40,BMA
294,294,9092, 1231,BMI
295,295,927971, 40,BMO
296,296,1403475, 1231,BMRC
297,297,1048477, 1231,BMRN
298,298,802681, 1231,BMTC
299,299,14272, 1231,BMY
300,300,9631, 40,BNS
301,301,702513, 1231,BOCH
302,302,46195, 1231,BOH
303,303,875357, 1231,BOKF
304,304,34067, 1231,BOOM
305,305,1610250, 0328,BOOT
306,306,1372612, 0131,BOX
307,307,26, 40,BP
308,308,821127, 1231,BPFH
309,309,763901, 1231,BPOP
310,310,1383312, 0630,BR
311,311,746598, 0731,BRC
312,312,892222, 1231,BREW
313,313,8, 40,BRFS
314,314,1049782, 1231,BRKL
315,315,1109354, 1231,BRKR
316,316,933974, 0930,BRKS
317,317,79282, 1231,BRO
318,318,14846, 1231,BRT
319,319,1705873, 1231,BRY
320,320,25, 40,BSAC
321,321,1231, 40,BSBR
322,322,10329, 1130,BSET
323,323,1130144, 1231,BSRR
324,324,875622, 1231,BSTC
325,325,885725, 1231,BSX
326,326,16, 40,BTE
327,327,946454, 1231,BTN
328,328,1064728, 1231,BTU
329,329,4, 40,BUD
330,330,314489, 1231,BUSE
331,331,1734713, 0930,BV
332,332,1231, 40,BVN
333,333,908255, 1231,BWA
334,334,1120370, 1231,BWEN
335,335,1393818, 1231,BX
336,336,778946, 1231,BXG
337,337,1037540, 1231,BXP
338,338,1231, 1231,BXS
339,339,906553, 1231,BYD
340,340,915840, 0930,BZH
341,341,831001, 1231,C
342,342,1157762, 40,CAAS
343,343,750686, 1231,CAC
344,344,885550, 1231,CACC
345,345,16058, 0630,CACI
346,346,8, 40,CAE
347,347,23217, 0531,CAG
348,348,721371, 0630,CAH
349,349,16988, 40,CAJ
350,350,887596, 1231,CAKE
351,351,16160, 0530,CALM
352,352,1406666, 1231,CALX
353,353,730255, 0228,CAMP
354,354,1231, 40,CAMT
355,355,723612, 1231,CAR
356,356,1340127, 1231,CARB
357,357,907471, 0930,CASH
358,358,726958, 0430,CASY
359,359,18230, 1231,CAT
360,360,1671013, 40,CATM
361,361,861842, 1231,CATY
362,362,896159, 40,CB
363,363,716133, 1231,CBB
364,364,17, 40,CBD
365,365,910612, 1231,CBL
366,366,1318641, 1231,CBLI
367,367,820081, 1231,CBM
368,368,1419536, 40,CBNK
369,369,1374310, 1231,CBOE
370,370,1369868, 40,CBPO
371,371,1067294, 0802,CBRL
372,372,813828, 1231,CBS
373,373,22356, 1231,CBSH
374,374,16040, 0930,CBT
375,375,723188, 1231,CBU
376,376,944148, 1231,CBZ
377,377,726601, 1231,CCBG
378,378,1231, 9,CCC
379,379,1051470, 1231,CCI
380,380,1231, 40,CCJ
381,381,1219601, 1231,CCK
382,382,815097, 1130,CCL
383,383,9, 40,CCM
384,384,1102934, 0930,CCMP
385,385,736772, 1231,CCNE
386,386,1334978, 1231,CCO
387,387,1158324, 1231,CCOI
388,388,1141103, 1231,CCRN
389,389,1576940, 1231,CCS
390,390,5, 40,CCU
391,391,749038, 0630,CCUR
392,392,1340652, 1231,CCXI
393,393,215466, 1231,CDE
394,394,813672, 1228,CDNS
395,395,761648, 1231,CDR
396,396,949428, 1231,CDTI
397,397,1200375, 1231,CDXS
398,398,1306830, 1231,CE
399,399,3197, 1231,CECE
400,400,1046568, 1231,CECO
401,401,1231, 40,CEL
402,402,816284, 1231,CELG
403,403,887733, 0928,CENT
404,404,887733, 0928,CENTA
405,405,949157, 1231,CENX
406,406,804753, 1228,CERN
407,407,1020214, 1231,CERS
408,408,925645, 40,CETV
409,409,1173489, 1231,CEVA
410,410,1324404, 1231,CF
411,411,1074433, 1022,CFFN
412,412,39263, 1231,CFR
413,413,1420800, 1231,CFX
414,414,1527166, 1231,CG
415,415,1231, 40,CGEN
416,416,851205, 1231,CGNX
417,417,726854, 1231,CHCO
418,418,313927, 1231,CHD
419,419,20212, 1231,CHDN
420,420,19584, 1231,CHE
421,421,1517175, 1228,CHEF
422,422,1046311, 1231,CHH
423,423,895126, 1231,CHK
424,424,1231, 40,CHKP
425,425,1524769, 1231,CHKR
426,426,1512762, 1231,CHRS
427,427,1043277, 1231,CHRW
428,428,897429, 0201,CHS
429,429,1091667, 1231,CHTR
430,430,1739940, 1231,CI
431,431,24090, 1231,CIA
432,432,1231, 40,CIB
433,433,1173204, 0331,CIDM
434,434,936395, 1031,CIEN
435,435,5, 40,CIG
436,436,1409493, 1231,CIM
437,437,20286, 1231,CINF
438,438,1091883, 1231,CIR
439,439,1171825, 1231,CIT
440,440,859598, 1231,CKH
441,441,21665, 1231,CL
442,442,1000229, 40,CLB
443,443,1089143, 0630,CLCT
444,444,1476045, 1231,CLDT
445,445,744218, 1231,CLDX
446,446,764065, 1231,CLF
447,447,796505, 0930,CLFD
448,448,36047, 1231,CLGX
449,449,822818, 1231,CLH
450,450,924901, 1231,CLI
451,451,1340122, 1231,CLMT
452,452,1368265, 1231,CLNE
453,453,1679688, 1231,CLNY
454,454,732834, 1231,CLR
455,455,840715, 1231,CLRO
456,456,1231, 40,CLS
457,457,749647, 1231,CLSN
